Jurisdiction,Institution,Audit_issue,Verified_fact,Selection_effect,Status,Official_source,Evidence,Decision,Source,Audit_scope
UAE,University of Sharjah,G1 eligibility,Official handbook states UoS was established in 1997 as an autonomous non-profit body owned by Government of Sharjah.,Eligible public/general candidate,ELIGIBLE,https://www.sharjah.ac.ae/-/media/project/uos/sites/uos/media-hub/publications/student-handbook-25-26,,,,Retrospective official-source boundary/selection audit; not a reconstructed pre-outcome universe.
UAE,Zayed University,G1 founding year,Official ZU page states founded in 1998 by the federal government.,Eligible public/general candidate,ELIGIBLE,https://www.zu.ac.ae/main/en/explore_zu/index,,,,Retrospective official-source boundary/selection audit; not a reconstructed pre-outcome universe.
UAE,Emirates Institute for Banking and Financial Studies,G3 HEI eligibility,CAA lists EIBFS as an active Higher Education Institution.,Eligible public specialized candidate subject to program-scope note,ELIGIBLE,https://www.caa.ae/Pages/Institutes/Details.aspx?GUID=16,,,,Retrospective official-source boundary/selection audit; not a reconstructed pre-outcome universe.
UAE,Skyline University College,Active-status check,CAA current directory marks licensure revoked.,Exclude from cutoff-active sample,INELIGIBLE,https://www.caa.ae/Pages/Institutes/All.aspx,,,,Retrospective official-source boundary/selection audit; not a reconstructed pre-outcome universe.
UAE,Ajman University,G2 founding year,Official AU page states established in 1988 and identifies it as the first private university in the GCC.,Eligible private candidate,ELIGIBLE,https://www.ajman.ac.ae/en/about/our-story-ajman-university,,,,Retrospective official-source boundary/selection audit; not a reconstructed pre-outcome universe.
Saudi Arabia,King Saud University,G1 founding year,Official KSU history: Royal Decree establishing KSU on 12 Nov 1957; first public university in the Kingdom.,Eligible public/general candidate,ELIGIBLE,https://ksu.edu.sa/en/history,,,,Retrospective official-source boundary/selection audit; not a reconstructed pre-outcome universe.
Saudi Arabia,King Abdulaziz University,G1 founding year,Official KAU history states it opened to its first students in 1967.,Eligible public/general candidate; legal-history note to retain,ELIGIBLE,https://kau.edu.sa/en/page/historical-event-the-beginning-of-a-new-era,,,,Retrospective official-source boundary/selection audit; not a reconstructed pre-outcome universe.
Saudi Arabia,King Faisal University,G1 founding year,Official KFU material states founded by royal decree in 1975.,Eligible public/general candidate,ELIGIBLE,https://www.kfu.edu.sa/en/Departments/knowledgeExchange/Documents/Final%20Facts%20and%20Figures%20%28executive%20Summary%20of%20KFU%29.pdf,,,,Retrospective official-source boundary/selection audit; not a reconstructed pre-outcome universe.
Saudi Arabia,Umm Al-Qura University,G1 continuity date,Official UQU history distinguishes precursor colleges from independent university establishment in 1981.,Candidate is eligible; record 1981 as independent-university date with precursor note,ELIGIBLE,https://uqu.edu.sa/en/main/aboutus,,,,Retrospective official-source boundary/selection audit; not a reconstructed pre-outcome universe.
Saudi Arabia,Prince Sultan University,G2 founding year,Official PSU history gives establishment announcement/license in 1998; Council of Universities page reports 1999.,Candidate with year reconciliation required before ranking,UNRESOLVED,https://psu.edu.sa/en/History,,,,Retrospective official-source boundary/selection audit; not a reconstructed pre-outcome universe.
Saudi Arabia,Effat University,G2 founding year,Official Effat timeline states first license in 1998 and opening in 1999.,Eligible private candidate; use 1999 operation unless protocol chooses legal-license date,ELIGIBLE,https://www.effatuniversity.edu.sa/English/media-center/effat-20th-anniversary/pages/timeline.aspx,,,,Retrospective official-source boundary/selection audit; not a reconstructed pre-outcome universe.
Saudi Arabia,University of Business and Technology,G2 regulator year,Council of Universities lists founded 2000.,Eligible private candidate,ELIGIBLE,https://www.cua.gov.sa/en/private-universities-and-colleges/,,,,Retrospective official-source boundary/selection audit; not a reconstructed pre-outcome universe.
Qatar,Virginia Commonwealth University School of the Arts in Qatar,G2/QF founding year,Qatar Foundation identifies VCU as its first partner university and 1998 establishment.,Eligible non-government/QF partner candidate,ELIGIBLE,https://www.qf.org.qa/about/,,,,Retrospective official-source boundary/selection audit; not a reconstructed pre-outcome universe.
Qatar,Weill Cornell Medicine-Qatar,G2/QF founding year,Qatar Foundation states established in 2001.,Eligible non-government/QF partner candidate,ELIGIBLE,https://www.qf.org.qa/education/weill-cornell-medicine-qatar,,,,Retrospective official-source boundary/selection audit; not a reconstructed pre-outcome universe.
Qatar,Texas A&M University at Qatar,G2/QF founding year,Qatar Foundation states established in 2003.,Active at cutoff; eligible partner candidate,ELIGIBLE,https://www.qf.org.qa/education/texas-a-m-university-at-qatar,,,,Retrospective official-source boundary/selection audit; not a reconstructed pre-outcome universe.
Qatar,Carnegie Mellon University in Qatar,G2/QF founding year,Qatar Foundation records opening in 2004.,Eligible partner candidate,ELIGIBLE,https://reports.qf.org.qa/2024-year-in-review/progressive-education,,,,Retrospective official-source boundary/selection audit; not a reconstructed pre-outcome universe.
Qatar,Higher-education universe,Regulator universe,"Ministry page separately lists public HEIs, security/military HEIs, Qatar Foundation universities, and private HEIs.",Use as jurisdictional universe source,ELIGIBLE,https://www.edu.gov.qa/en/Content/HigherEducationinQatar,,,,Retrospective official-source boundary/selection audit; not a reconstructed pre-outcome universe.
Oman,Sultan Qaboos University,G1/G3 universe,Oman ministry lists SQU among government higher-education institutions.,Eligible; final stratum follows comprehensive-vs-specialized rule,ELIGIBLE,https://www.moheri.gov.om/InnerPage.aspx?ID=4438f693-dac7-4ad5-9c06-5ab179810b88&culture=en,,,,Retrospective official-source boundary/selection audit; not a reconstructed pre-outcome universe.
Oman,University of Technology and Applied Sciences,G3 universe,Oman ministry lists UTAS among government higher-education institutions.,Eligible public applied candidate,ELIGIBLE,https://www.moheri.gov.om/InnerPage.aspx?ID=4438f693-dac7-4ad5-9c06-5ab179810b88&culture=en,,,,Retrospective official-source boundary/selection audit; not a reconstructed pre-outcome universe.
Oman,Majan University College,G2 founding year,Official Majan page: opened in 1995 as Oman's first private-sector HEI.,Eligible private candidate,ELIGIBLE,https://www.majancollege.edu.om/en/about/about-muc,,,,Retrospective official-source boundary/selection audit; not a reconstructed pre-outcome universe.
Oman,University of Nizwa,G2 founding year,Official UoN page: established 2004 as a faculty-governed not-for-profit private university.,Eligible private candidate,ELIGIBLE,https://www.unizwa.edu.om/index.php?contentid=1&lang=en,,,,Retrospective official-source boundary/selection audit; not a reconstructed pre-outcome universe.
Oman,Higher Institute of Health Specialties,cutoff-active status,Prior audit identified abolition before cutoff (21 May 2026). Requires archived official decree/source in final ledger.,Exclude if the abolition source is re-verified,EXCLUSION_PENDING_SOURCE_REVERIFICATION,,,,,Retrospective official-source boundary/selection audit; not a reconstructed pre-outcome universe.
Bahrain,Bahrain Institute of Banking and Finance,G2 HEI eligibility,BQA lists BIBF as Active; sector includes Higher Education; Type Private; awards diploma/bachelor/master.,Eligible private HEI; cannot be excluded as 'training institute' only,ELIGIBLE,https://www.bqa.gov.bh/institutions-performance/higher-education-reports/university-2318/,,,,Retrospective official-source boundary/selection audit; not a reconstructed pre-outcome universe.
Bahrain,Bahrain Institute of Banking and Finance,G2 founding year,BQA review states BIBF established in March 1981.,Strong old private/non-government candidate,ELIGIBLE,https://www.bqa.gov.bh/wp-content/uploads/2024/10/BIBF-EN.pdf,,,,Retrospective official-source boundary/selection audit; not a reconstructed pre-outcome universe.
Bahrain,Ahlia University,G2 founding year,Official Ahlia history: established in 2001; first private university licensed by Bahrain government.,Eligible private candidate,ELIGIBLE,https://www.ahlia.edu.bh/our-history/,,,,Retrospective official-source boundary/selection audit; not a reconstructed pre-outcome universe.
Bahrain,Gulf University,G2 founding year,Official/BQA evidence states founded in 2001.,Eligible private candidate,ELIGIBLE,https://www.gulfuniversity.edu.bh/about-us/chairperson-message,,,,Retrospective official-source boundary/selection audit; not a reconstructed pre-outcome universe.
Bahrain,Kingdom University,G2 founding year,BQA review states founded in 2001 and degree programmes commenced in 2004.,Included in Bahrain G2 under the prespecified oldest-four rule; its 2001 year fills the fourth position before 2002 institutions.,ELIGIBLE,https://www.bqa.gov.bh/En/Reports/UniReports/HigherEducationReport/KU%20Inst%20en%20C2.pdf,BQA institutional review records Kingdom University as a private university founded in 2001; a separate BQA higher-education report index last modified 7 Jul 2026 lists Kingdom University with a Jul 2026 compliant institutional review.,Eligible Bahrain G2 HEI at the cutoff; founding year 2001 fills the fourth position before 2002 institutions.,https://www.bqa.gov.bh/En/Reports/UniReports/HigherEducationReport/KU%20Inst%20en%20C2.pdf ; https://www.bqa.gov.bh/institutions-performance/higher-education-reports/,Retrospective official-source boundary/selection audit; not a reconstructed pre-outcome universe.
Bahrain,Applied Science University,G2 founding year,Official ASU history states licensed/established in 2004.,Likely below 2001 tie threshold if four older cases remain,BELOW_THRESHOLD_CANDIDATE,https://www.asu.edu.bh/about-us/history-of-the-university/,,,,Retrospective official-source boundary/selection audit; not a reconstructed pre-outcome universe.
Kuwait,Kuwait University,G1 founding year,Official KU page: established October 1966 under Decree-Law 29/1966.,Eligible public/general candidate,ELIGIBLE,https://www.ku.edu.kw/ar/about-us/about-kuwait-university/establishment,,,,Retrospective official-source boundary/selection audit; not a reconstructed pre-outcome universe.
Kuwait,Arab Open University,G2 founding year,Official AOU history states university became operational as an integrated university in 2002; headquarters in Kuwait.,Eligible non-government candidate; Kuwait-branch/legal-unit treatment must be explicit,UNRESOLVED,https://www.arabou.edu.kw/ar/university/Pages/our-history.aspx,,,,Retrospective official-source boundary/selection audit; not a reconstructed pre-outcome universe.
Kuwait,Australian University,G2 founding year,Official AU history states licensed as Australian College of Kuwait under Amiri Decree 141/2003 and commenced operation in 2004.,Eligible private candidate,ELIGIBLE,https://www.au.edu.kw/about/history/,,,,Retrospective official-source boundary/selection audit; not a reconstructed pre-outcome universe.
Kuwait,Kuwait Academy of Arts,G3 eligibility,Prior audit identified official establishment before cutoff; final ledger still needs direct official regulator/decree locator.,Potential public specialized candidate,UNRESOLVED,,,,,Retrospective official-source boundary/selection audit; not a reconstructed pre-outcome universe.
