Jurisdiction,Stratum_scope,Official_registry_or_authority,URL,Role,Cutoff_support
UAE,G1/G2/G3,Commission for Academic Accreditation (CAA) - Higher Education Institutions,https://www.caa.ae/Pages/Institutes/All.aspx,National official HEI directory; revoked/suspended status is explicitly marked for affected institutions.,Current official registry used as retrospective eligibility corroboration; selected-case cutoff status remains anchored to the preserved pre-outcome selection record unless a dated source is separately listed.
Saudi Arabia,G1/G3,Council of Universities Affairs - Public universities,https://www.cua.gov.sa/en/public-universities/,Official public-university list with founding information.,Official regulator list; used to corroborate selected public HEIs and founding-order evidence.
Saudi Arabia,G2,Council of Universities Affairs - Private universities and colleges,https://www.cua.gov.sa/en/private-universities-and-colleges/,Official private-university/college list with founding information.,Official regulator list; used to corroborate selected private HEIs and founding-order evidence.
Qatar,G1/G2/G3,Ministry of Education and Higher Education - Higher Education in Qatar,https://www.edu.gov.qa/en/Content/HigherEducationinQatar,"Official national list separating public HEIs, Qatar Foundation universities, private HEIs, and security/military HEIs.","Official ministry list; directly supports eligibility of selected civilian public, Qatar Foundation/private, and applied/specialized HEIs."
Oman,G1/G3,"Ministry of Higher Education, Research and Innovation - Government Higher Education institutions",https://www.moheri.gov.om/InnerPage.aspx?ID=4438f693-dac7-4ad5-9c06-5ab179810b88&culture=en,"Official government-HEI list; includes SQU, UTAS and College of Sharia Sciences.",Official ministry list; retrospective corroboration of selected public HEIs.
Oman,G2,Ministry of Higher Education - Private Universities & Colleges,https://eservices.moheri.gov.om/Student/PDF/PrivateUniversities%26Colleges.pdf,"Official ministry list of private universities and colleges; includes Sohar, Majan, Modern College of Business and Science, and Muscat College.",Official ministry list; retrospective corroboration of selected private HEIs.
Bahrain,G1/G2/G3,Education and Training Quality Authority (BQA) - Higher Education Reports,https://www.bqa.gov.bh/institutions-performance/higher-education-reports/,Official HE institutional listing/review source with listing and active-status fields.,"Official BQA source; dated pre-cutoff evidence is used where available, including Kingdom University and other selected HEIs."
Kuwait,G1/G3,Ministry of Higher Education - entities affiliated with the Minister,https://www.mohe.edu.kw/site/en/CustomPage?PageID=52,"Official ministry page listing Kuwait University, Abdullah Al-Salem University and Kuwait Academy of Arts, among affiliated entities.",Official ministry source; retrospective corroboration of selected public HEIs.
Kuwait,G2,State of Kuwait Government Online - Civil Universities List,https://www.e.gov.kw/sites/kgoEnglish/Pages/CitizensResidents/Education/Universities.aspx,"Official government list of private/civil universities and colleges; includes AUK, GUST, AOU-Kuwait and Australian College/University lineage.","Page dated 15 July 2026 in the indexed English version, before the 23 July cutoff; direct pre-cutoff support for the selected private/civil institutions."
Kuwait,G3,Public Authority for Applied Education and Training (PAAET),https://www.paaet.edu.kw/EN,Official PAAET portal listing its applied colleges and institutes.,Official institution source; retrospective corroboration of PAAET as a public applied higher-education entity.
